cell_id,true_state,true_branch,true_pseudotime,spatial_x,spatial_y,true_spatial_domain
CELL_0809,branch_b_terminal,branch_b,0.8277,2.9321,-1.5839,lower_terminal_region
CELL_0778,branch_b_terminal,branch_b,0.7197,2.7826,-1.2005,lower_terminal_region
CELL_0398,transition_state,transition,0.5406,0.485,-0.45,left_progenitor_region
CELL_0076,root_progenitor,root,0.063,0.2142,0.2105,left_progenitor_region
CELL_0196,root_progenitor,root,0.1886,-0.3559,0.1116,left_progenitor_region
CELL_0631,branch_a_terminal,branch_a,0.9583,2.724,1.6632,upper_terminal_region
CELL_0751,branch_b_terminal,branch_b,0.6693,2.5286,-1.1434,lower_terminal_region
CELL_0570,branch_a_terminal,branch_a,0.8075,2.7686,1.2998,upper_terminal_region
CELL_0405,transition_state,transition,0.5309,0.6974,-0.2246,left_progenitor_region
CELL_0512,branch_a_terminal,branch_a,0.6731,2.3529,1.1377,upper_terminal_region
CELL_0338,transition_state,transition,0.4084,0.8969,0.0989,central_transition_region
CELL_0895,branch_b_terminal,branch_b,0.9918,2.9261,-1.6942,lower_terminal_region
CELL_0227,transition_state,transition,0.2195,-0.0112,-0.3917,left_progenitor_region
CELL_0669,branch_b_terminal,branch_b,0.4984,1.916,-0.8086,transition_ring_region
CELL_0204,root_progenitor,root,0.1555,-0.2601,-0.6032,left_progenitor_region
CELL_0745,branch_b_terminal,branch_b,0.6752,2.0933,-0.8717,transition_ring_region
CELL_0192,root_progenitor,root,0.1696,-0.1592,0.1353,left_progenitor_region
CELL_0874,branch_b_terminal,branch_b,0.9503,3.1489,-0.9469,lower_terminal_region
CELL_0794,branch_b_terminal,branch_b,0.7877,3.0084,-1.182,lower_terminal_region
CELL_0774,branch_b_terminal,branch_b,0.7399,2.7816,-0.946,lower_terminal_region
CELL_0481,branch_a_terminal,branch_a,0.6192,2.5146,1.1639,upper_terminal_region
CELL_0834,branch_b_terminal,branch_b,0.8674,2.5463,-1.2072,lower_terminal_region
CELL_0465,branch_a_terminal,branch_a,0.5569,1.948,0.5534,transition_ring_region
CELL_0807,branch_b_terminal,branch_b,0.7997,2.784,-1.3168,lower_terminal_region
CELL_0885,branch_b_terminal,branch_b,0.9663,3.2641,-1.1622,lower_terminal_region
CELL_0096,root_progenitor,root,0.0678,-0.1696,0.1874,left_progenitor_region
CELL_0891,branch_b_terminal,branch_b,0.998,3.3946,-1.635,lower_terminal_region
CELL_0326,transition_state,transition,0.3877,0.5403,-0.3186,left_progenitor_region
CELL_0294,transition_state,transition,0.3343,0.6376,0.0758,left_progenitor_region
CELL_0210,root_progenitor,root,0.2055,-0.3736,0.1748,left_progenitor_region
CELL_0440,branch_a_terminal,branch_a,0.5597,2.1793,1.0076,transition_ring_region
CELL_0783,branch_b_terminal,branch_b,0.7689,2.6035,-0.8888,lower_terminal_region
CELL_0078,root_progenitor,root,0.0806,-0.0513,-0.5009,left_progenitor_region
CELL_0265,transition_state,transition,0.2645,0.0865,0.0904,left_progenitor_region
CELL_0829,branch_b_terminal,branch_b,0.8555,3.169,-0.9852,lower_terminal_region
CELL_0428,branch_a_terminal,branch_a,0.5265,2.0153,1.0521,transition_ring_region
CELL_0141,root_progenitor,root,0.1139,-0.1799,-0.3756,left_progenitor_region
CELL_0582,branch_a_terminal,branch_a,0.8448,2.6826,1.4019,upper_terminal_region
CELL_0743,branch_b_terminal,branch_b,0.6793,2.1728,-0.8853,transition_ring_region
CELL_0363,transition_state,transition,0.4572,0.771,-0.0768,left_progenitor_region
CELL_0065,root_progenitor,root,0.0713,0.0921,0.2116,left_progenitor_region
CELL_0789,branch_b_terminal,branch_b,0.773,2.8531,-1.2156,lower_terminal_region
CELL_0291,transition_state,transition,0.3257,0.414,0.1268,left_progenitor_region
CELL_0603,branch_a_terminal,branch_a,0.9044,2.9479,1.4923,upper_terminal_region
CELL_0857,branch_b_terminal,branch_b,0.9197,2.6521,-1.5154,lower_terminal_region
CELL_0486,branch_a_terminal,branch_a,0.6425,2.4426,0.9603,upper_terminal_region
CELL_0235,transition_state,transition,0.2316,0.1975,-0.1115,left_progenitor_region
CELL_0250,transition_state,transition,0.2575,0.329,-0.1734,left_progenitor_region
CELL_0049,root_progenitor,root,0.0458,0.2474,-0.2946,left_progenitor_region
CELL_0657,branch_a_terminal,branch_a,0.9786,2.8848,1.6218,upper_terminal_region
CELL_0309,transition_state,transition,0.3431,0.6597,0.1355,left_progenitor_region
CELL_0709,branch_b_terminal,branch_b,0.5953,2.7566,-0.9471,lower_terminal_region
CELL_0275,transition_state,transition,0.2785,0.3668,-0.0212,left_progenitor_region
CELL_0894,branch_b_terminal,branch_b,0.9765,3.4058,-1.8468,lower_terminal_region
CELL_0165,root_progenitor,root,0.1371,0.0963,0.1391,left_progenitor_region
CELL_0513,branch_a_terminal,branch_a,0.6999,2.432,1.0994,upper_terminal_region
CELL_0033,root_progenitor,root,0.0179,0.0659,0.0131,left_progenitor_region
CELL_0031,root_progenitor,root,0.0222,0.2319,0.1136,left_progenitor_region
CELL_0673,branch_b_terminal,branch_b,0.5417,1.8752,-0.9614,transition_ring_region
CELL_0404,transition_state,transition,0.5256,0.8891,0.1132,central_transition_region
CELL_0518,branch_a_terminal,branch_a,0.6989,2.4444,1.5232,upper_terminal_region
CELL_0430,branch_a_terminal,branch_a,0.544,1.9431,0.266,central_transition_region
CELL_0109,root_progenitor,root,0.0736,-0.1636,0.107,left_progenitor_region
CELL_0077,root_progenitor,root,0.0727,0.1385,0.5819,left_progenitor_region
CELL_0412,transition_state,transition,0.5513,1.0151,0.0136,central_transition_region
CELL_0312,transition_state,transition,0.3466,0.3827,-0.1718,left_progenitor_region
CELL_0082,root_progenitor,root,0.0694,-0.4003,-0.1985,left_progenitor_region
CELL_0321,transition_state,transition,0.3872,0.4986,0.2264,left_progenitor_region
CELL_0649,branch_a_terminal,branch_a,0.9818,3.1026,1.3554,upper_terminal_region
CELL_0693,branch_b_terminal,branch_b,0.5689,2.391,-0.3978,lower_terminal_region
CELL_0360,transition_state,transition,0.4336,0.9597,-0.4639,transition_ring_region
CELL_0487,branch_a_terminal,branch_a,0.6163,2.4125,1.1414,upper_terminal_region
CELL_0464,branch_a_terminal,branch_a,0.5883,2.0972,0.7913,transition_ring_region
CELL_0005,root_progenitor,root,0.0,-0.3659,-0.1477,left_progenitor_region
CELL_0054,root_progenitor,root,0.0423,-0.293,-0.1296,left_progenitor_region
CELL_0734,branch_b_terminal,branch_b,0.6603,2.276,-0.8327,lower_terminal_region
CELL_0462,branch_a_terminal,branch_a,0.5971,2.2897,0.5714,upper_terminal_region
CELL_0323,transition_state,transition,0.3907,0.3931,0.091,left_progenitor_region
CELL_0367,transition_state,transition,0.4399,0.7854,0.0221,left_progenitor_region
CELL_0097,root_progenitor,root,0.0736,-0.0712,0.0494,left_progenitor_region
CELL_0444,branch_a_terminal,branch_a,0.5511,2.3227,0.9058,upper_terminal_region
CELL_0576,branch_a_terminal,branch_a,0.8598,2.9463,1.2883,upper_terminal_region
CELL_0897,branch_b_terminal,branch_b,0.9943,3.4674,-1.3006,lower_terminal_region
CELL_0578,branch_a_terminal,branch_a,0.8451,2.9921,1.4542,upper_terminal_region
CELL_0779,branch_b_terminal,branch_b,0.7721,2.3302,-1.5415,lower_terminal_region
CELL_0025,root_progenitor,root,0.0175,-0.1804,0.0791,left_progenitor_region
CELL_0084,root_progenitor,root,0.0588,0.0691,-0.3532,left_progenitor_region
CELL_0010,root_progenitor,root,0.0223,-0.2192,-0.0236,left_progenitor_region
CELL_0334,transition_state,transition,0.4007,0.7186,-0.0553,left_progenitor_region
CELL_0244,transition_state,transition,0.2357,0.3661,-0.2152,left_progenitor_region
CELL_0678,branch_b_terminal,branch_b,0.5297,2.2317,-0.7452,lower_terminal_region
CELL_0306,transition_state,transition,0.3782,0.4773,0.097,left_progenitor_region
CELL_0591,branch_a_terminal,branch_a,0.8438,3.0322,0.9662,upper_terminal_region
CELL_0118,root_progenitor,root,0.1318,0.2691,-0.2114,left_progenitor_region
CELL_0290,transition_state,transition,0.3298,0.4841,-0.1459,left_progenitor_region
CELL_0316,transition_state,transition,0.355,0.5523,0.489,left_progenitor_region
CELL_0029,root_progenitor,root,0.0329,0.2978,0.0657,left_progenitor_region
CELL_0055,root_progenitor,root,0.0406,0.3778,0.1594,left_progenitor_region
CELL_0417,transition_state,transition,0.5529,0.6987,-0.1257,left_progenitor_region
CELL_0599,branch_a_terminal,branch_a,0.8913,3.0395,1.0575,upper_terminal_region
CELL_0850,branch_b_terminal,branch_b,0.8847,2.8376,-1.0448,lower_terminal_region
CELL_0368,transition_state,transition,0.4555,0.6835,0.2946,left_progenitor_region
CELL_0081,root_progenitor,root,0.064,-0.4006,-0.3129,left_progenitor_region
CELL_0629,branch_a_terminal,branch_a,0.9107,2.9401,1.0728,upper_terminal_region
CELL_0375,transition_state,transition,0.4773,0.5091,-0.3816,left_progenitor_region
CELL_0862,branch_b_terminal,branch_b,0.8947,2.8578,-1.373,lower_terminal_region
CELL_0426,branch_a_terminal,branch_a,0.5,2.2791,0.3505,upper_terminal_region
CELL_0787,branch_b_terminal,branch_b,0.75,2.4684,-1.1177,lower_terminal_region
CELL_0569,branch_a_terminal,branch_a,0.8194,2.69,1.1405,upper_terminal_region
CELL_0697,branch_b_terminal,branch_b,0.5675,2.4815,-0.6657,lower_terminal_region
CELL_0286,transition_state,transition,0.3203,0.8035,0.263,transition_ring_region
CELL_0714,branch_b_terminal,branch_b,0.6147,2.3862,-0.7221,lower_terminal_region
CELL_0539,branch_a_terminal,branch_a,0.7711,2.5324,1.1789,upper_terminal_region
CELL_0357,transition_state,transition,0.4568,0.6556,0.2577,left_progenitor_region
CELL_0768,branch_b_terminal,branch_b,0.7165,2.3797,-1.0195,lower_terminal_region
CELL_0845,branch_b_terminal,branch_b,0.9057,2.826,-0.9269,lower_terminal_region
CELL_0718,branch_b_terminal,branch_b,0.6064,2.8876,-0.7427,lower_terminal_region
CELL_0394,transition_state,transition,0.4947,1.1528,0.0595,central_transition_region
CELL_0500,branch_a_terminal,branch_a,0.6554,2.9193,0.7631,upper_terminal_region
CELL_0365,transition_state,transition,0.4715,0.7404,0.1925,left_progenitor_region
CELL_0730,branch_b_terminal,branch_b,0.6579,2.7615,-1.1865,lower_terminal_region
CELL_0482,branch_a_terminal,branch_a,0.6294,2.4231,1.1705,upper_terminal_region
CELL_0409,transition_state,transition,0.5469,0.9317,0.3104,central_transition_region
CELL_0473,branch_a_terminal,branch_a,0.6169,2.4589,0.9645,upper_terminal_region
CELL_0292,transition_state,transition,0.3349,0.5028,0.068,left_progenitor_region
CELL_0007,root_progenitor,root,0.0016,-0.1823,-0.1635,left_progenitor_region
CELL_0451,branch_a_terminal,branch_a,0.5583,2.0649,0.608,transition_ring_region
CELL_0155,root_progenitor,root,0.1681,-0.0904,-0.2353,left_progenitor_region
CELL_0351,transition_state,transition,0.4116,0.4825,-0.0472,left_progenitor_region
CELL_0429,branch_a_terminal,branch_a,0.5277,2.098,0.4047,transition_ring_region
CELL_0101,root_progenitor,root,0.1117,-0.1486,-0.3701,left_progenitor_region
CELL_0199,root_progenitor,root,0.1793,-0.1535,0.3628,left_progenitor_region
CELL_0613,branch_a_terminal,branch_a,0.8978,2.7625,1.3867,upper_terminal_region
CELL_0528,branch_a_terminal,branch_a,0.7446,2.5214,1.0113,upper_terminal_region
CELL_0815,branch_b_terminal,branch_b,0.819,3.0314,-1.1201,lower_terminal_region
CELL_0380,transition_state,transition,0.4742,0.4736,0.1709,left_progenitor_region
CELL_0300,transition_state,transition,0.3557,0.5948,0.0632,left_progenitor_region
CELL_0416,transition_state,transition,0.5498,0.6812,0.0604,left_progenitor_region
CELL_0878,branch_b_terminal,branch_b,0.9528,3.1499,-1.6194,lower_terminal_region
CELL_0319,transition_state,transition,0.3808,0.5924,0.0889,left_progenitor_region
CELL_0002,root_progenitor,root,0.0131,0.0226,0.0571,left_progenitor_region
CELL_0254,transition_state,transition,0.2474,0.3293,0.0151,left_progenitor_region
CELL_0507,branch_a_terminal,branch_a,0.671,2.4308,0.6835,upper_terminal_region
CELL_0499,branch_a_terminal,branch_a,0.6621,2.6069,1.0188,upper_terminal_region
CELL_0266,transition_state,transition,0.2672,0.4868,-0.2325,left_progenitor_region
CELL_0158,root_progenitor,root,0.1368,-0.1347,0.287,left_progenitor_region
CELL_0521,branch_a_terminal,branch_a,0.725,2.6234,0.6225,upper_terminal_region
CELL_0836,branch_b_terminal,branch_b,0.8732,3.2157,-1.2732,lower_terminal_region
CELL_0567,branch_a_terminal,branch_a,0.8173,2.4276,1.1608,upper_terminal_region
CELL_0332,transition_state,transition,0.4008,0.6211,-0.0817,left_progenitor_region
CELL_0432,branch_a_terminal,branch_a,0.5195,2.058,0.995,transition_ring_region
CELL_0305,transition_state,transition,0.3635,0.759,0.0406,left_progenitor_region
CELL_0436,branch_a_terminal,branch_a,0.5245,2.3501,0.5537,upper_terminal_region
CELL_0526,branch_a_terminal,branch_a,0.7049,2.6789,1.0346,upper_terminal_region
CELL_0408,transition_state,transition,0.52,0.7849,0.1141,left_progenitor_region
CELL_0893,branch_b_terminal,branch_b,1.0,2.8487,-1.548,lower_terminal_region
CELL_0359,transition_state,transition,0.4451,0.6516,0.0008,left_progenitor_region
CELL_0585,branch_a_terminal,branch_a,0.8315,2.9788,1.2588,upper_terminal_region
CELL_0655,branch_a_terminal,branch_a,0.9751,3.098,1.4013,upper_terminal_region
CELL_0659,branch_a_terminal,branch_a,0.9823,3.476,1.5712,upper_terminal_region
CELL_0212,root_progenitor,root,0.1941,-0.0843,-0.0355,left_progenitor_region
CELL_0828,branch_b_terminal,branch_b,0.846,2.4414,-1.1011,lower_terminal_region
CELL_0079,root_progenitor,root,0.0675,0.4011,-0.1144,left_progenitor_region
CELL_0148,root_progenitor,root,0.1511,0.1671,-0.1721,left_progenitor_region
CELL_0259,transition_state,transition,0.2656,0.5676,0.1732,left_progenitor_region
CELL_0594,branch_a_terminal,branch_a,0.8676,2.8317,1.4336,upper_terminal_region
CELL_0842,branch_b_terminal,branch_b,0.9003,3.0726,-1.1515,lower_terminal_region
CELL_0382,transition_state,transition,0.4675,0.6993,-0.2753,left_progenitor_region
CELL_0483,branch_a_terminal,branch_a,0.6084,1.8695,1.2306,transition_ring_region
CELL_0133,root_progenitor,root,0.1181,-0.1949,0.1076,left_progenitor_region
CELL_0468,branch_a_terminal,branch_a,0.5587,2.2934,0.8858,upper_terminal_region
CELL_0548,branch_a_terminal,branch_a,0.7728,3.0422,1.6128,upper_terminal_region
CELL_0506,branch_a_terminal,branch_a,0.6848,2.5336,1.1172,upper_terminal_region
CELL_0653,branch_a_terminal,branch_a,0.9714,3.1847,1.4393,upper_terminal_region
CELL_0638,branch_a_terminal,branch_a,0.9502,3.0838,1.1929,upper_terminal_region
CELL_0752,branch_b_terminal,branch_b,0.6628,2.285,-1.3237,lower_terminal_region
CELL_0281,transition_state,transition,0.3242,0.5276,0.1471,left_progenitor_region
CELL_0687,branch_b_terminal,branch_b,0.5398,2.213,-1.4225,lower_terminal_region
CELL_0705,branch_b_terminal,branch_b,0.5721,2.4238,-0.8022,lower_terminal_region
CELL_0296,transition_state,transition,0.3453,0.4279,-0.331,left_progenitor_region
CELL_0172,root_progenitor,root,0.1503,0.225,0.1849,left_progenitor_region
CELL_0863,branch_b_terminal,branch_b,0.9097,3.2718,-1.0712,lower_terminal_region
CELL_0467,branch_a_terminal,branch_a,0.6168,2.4326,1.0157,upper_terminal_region
CELL_0812,branch_b_terminal,branch_b,0.8123,3.1657,-1.082,lower_terminal_region
CELL_0808,branch_b_terminal,branch_b,0.816,2.7973,-0.9367,lower_terminal_region
CELL_0090,root_progenitor,root,0.0922,-0.0449,0.0492,left_progenitor_region
CELL_0841,branch_b_terminal,branch_b,0.8645,2.8845,-1.2288,lower_terminal_region
CELL_0181,root_progenitor,root,0.1686,-0.0734,-0.268,left_progenitor_region
CELL_0861,branch_b_terminal,branch_b,0.924,3.3403,-1.3437,lower_terminal_region
CELL_0802,branch_b_terminal,branch_b,0.7849,2.9704,-0.9935,lower_terminal_region
CELL_0069,root_progenitor,root,0.0601,-0.2158,-0.0369,left_progenitor_region
CELL_0131,root_progenitor,root,0.099,0.0229,0.1452,left_progenitor_region
CELL_0598,branch_a_terminal,branch_a,0.8537,2.8444,1.4893,upper_terminal_region
CELL_0477,branch_a_terminal,branch_a,0.6249,2.2391,1.0438,upper_terminal_region
CELL_0135,root_progenitor,root,0.1081,0.2713,0.0916,left_progenitor_region
CELL_0164,root_progenitor,root,0.1623,0.1767,0.1657,left_progenitor_region
CELL_0028,root_progenitor,root,0.0318,-0.1908,-0.2781,left_progenitor_region
CELL_0497,branch_a_terminal,branch_a,0.671,2.4288,0.693,upper_terminal_region
CELL_0193,root_progenitor,root,0.1982,0.1907,0.112,left_progenitor_region
CELL_0311,transition_state,transition,0.3556,0.6591,0.0204,left_progenitor_region
CELL_0723,branch_b_terminal,branch_b,0.6203,2.3295,-1.0689,lower_terminal_region
CELL_0640,branch_a_terminal,branch_a,0.967,2.8725,1.4695,upper_terminal_region
CELL_0537,branch_a_terminal,branch_a,0.7474,2.541,1.3041,upper_terminal_region
CELL_0140,root_progenitor,root,0.1341,0.341,0.2238,left_progenitor_region
CELL_0173,root_progenitor,root,0.1396,-0.0399,-0.1632,left_progenitor_region
CELL_0006,root_progenitor,root,0.0074,0.0789,0.3015,left_progenitor_region
CELL_0581,branch_a_terminal,branch_a,0.8337,3.0784,1.3794,upper_terminal_region
CELL_0377,transition_state,transition,0.4798,0.7044,-0.32,left_progenitor_region
CELL_0073,root_progenitor,root,0.0741,-0.1859,-0.2056,left_progenitor_region
CELL_0618,branch_a_terminal,branch_a,0.941,2.76,1.5021,upper_terminal_region
CELL_0331,transition_state,transition,0.4156,0.7013,0.0124,left_progenitor_region
CELL_0886,branch_b_terminal,branch_b,0.966,3.0322,-1.3519,lower_terminal_region
CELL_0145,root_progenitor,root,0.1262,-0.3902,-0.0743,left_progenitor_region
CELL_0234,transition_state,transition,0.2372,-0.0946,-0.3408,left_progenitor_region
CELL_0220,transition_state,transition,0.1746,0.0852,-0.2885,left_progenitor_region
CELL_0584,branch_a_terminal,branch_a,0.8458,2.6856,1.2234,upper_terminal_region
CELL_0803,branch_b_terminal,branch_b,0.8002,3.0647,-1.1285,lower_terminal_region
CELL_0132,root_progenitor,root,0.1301,-0.0142,-0.0426,left_progenitor_region
CELL_0742,branch_b_terminal,branch_b,0.6756,2.6232,-1.1363,lower_terminal_region
CELL_0327,transition_state,transition,0.3798,0.4055,0.0454,left_progenitor_region
CELL_0185,root_progenitor,root,0.192,-0.3056,0.0623,left_progenitor_region
CELL_0041,root_progenitor,root,0.0456,0.216,-0.0821,left_progenitor_region
CELL_0551,branch_a_terminal,branch_a,0.7962,2.6257,0.9829,upper_terminal_region
CELL_0108,root_progenitor,root,0.1112,-0.1335,-0.2674,left_progenitor_region
CELL_0425,branch_a_terminal,branch_a,0.5087,2.1328,0.8727,transition_ring_region
CELL_0056,root_progenitor,root,0.047,-0.1747,-0.2534,left_progenitor_region
CELL_0602,branch_a_terminal,branch_a,0.8599,2.9497,1.3213,upper_terminal_region
CELL_0350,transition_state,transition,0.4175,0.7072,0.0006,left_progenitor_region
CELL_0501,branch_a_terminal,branch_a,0.6759,2.4664,1.3735,upper_terminal_region
CELL_0024,root_progenitor,root,0.0155,0.0133,0.0,left_progenitor_region
CELL_0665,branch_b_terminal,branch_b,0.5061,2.2105,-0.9747,lower_terminal_region
CELL_0433,branch_a_terminal,branch_a,0.5328,2.4118,0.7651,upper_terminal_region
CELL_0439,branch_a_terminal,branch_a,0.5365,1.9942,1.108,transition_ring_region
CELL_0051,root_progenitor,root,0.056,0.2928,0.1877,left_progenitor_region
